"details","date","city","state","country","shape","summary","report_date","posted_date","image"
"https://nuforc.org/sighting/?id=159622","09/29/2020 20:25","Temecula","CA","USA","Light","On 8:25 pm a bright white light that had what appeared to be illuminated fog surrounding it flew over my house from South to North.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159624","09/29/2020 20:00","Spokane","WA","USA","Circle","Round object in the sky with very bright red, blue and white lights flashing lights","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159883","09/29/2020 18:30","Palmdale","CA","USA","Triangle","Three triangular shapes with green lights","10/10/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159672","09/29/2020 09:00","Las Vegas/Ryolite (between)","NV","USA","Chevron","We were headed from Las Vegas to Ryolite. We were run off the road by lice/ military vehicles at a high rate of speed carrying an aircr","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159961","09/29/2020 06:48","West Chazy","NY","USA","","MADAR Node 85","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159615","09/29/2020 04:12","Kearney","NE","USA","Light","I was out on the back patio around 4:10 in the morning, looking up at eastern sky, and saw a light move in a arc “like it was doing a t","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159652","09/29/2020 01:30","Silver Lake","IN","USA","Disk","Very bright saucer over lake making high pitched sound, causing dog to go nuts.","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159592","09/28/2020 22:00","Ithaca","NY","USA","Triangle","Right at that time part of our lights went out in the house.... Not all, Just in the living room; the tv went dark.","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159601","09/28/2020 21:00","Columbus","OH","USA","Circle","I was standing outside at 7:20am and noticed a bright gleaming object high up into the sky, it was extremely bright and it was moving a","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159934","09/28/2020 21:00","East Providence","RI","USA","Circle","Outside on the back porch at night when I saw something in the sky. Object was circular with red panels on the bottom that looked like","10/14/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159713","09/28/2020 21:00","Richmond","VA","USA","Changing","This tight shape fanned out into 6 to 7 individual dimly lit red lights in a downward V-shaped formation traveling horizontally.","10/03/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159676","09/28/2020 20:30","Clarion","PA","USA","Changing","They come back to the same spot frequently.","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159963","09/28/2020 18:12","Ajax","ON","Canada","","MADAR Node 41","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=160422","09/28/2020 15:00","Athens","AL","USA","Other","A command module looking craft.","11/05/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159671","09/28/2020 14:50","Winslow","AR","USA","Light","We saw a pulsating and hovering bright light in the sky near I-49 at exit 40 to the east and again at exit 45 to the west that had trai","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159839","09/28/2020 05:30","Ignacio","CO","USA","Orb","Sunset on ute reservation 4 mile from Ignacio colo. I was driving down the road heading home seen the sunset ion the east of town tha","10/09/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159596","09/28/2020 03:30","Boise","ID","USA","Disk","photos of bright glittery white lights at 3:30am.","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159598","09/28/2020 00:00","Marysville","WA","USA","Rectangle","This was in the NE sector and was about at a 10 O'clock position,noo blinking lights and appeared to be stationery. It appeared to ha","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159604","09/27/2020 22:36","Independence","MO","USA","Changing","Reddish orange fire flame dancing in night sky","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159609","09/27/2020 21:05","Kingsville","OH","USA","Fireball","There was a motherboard.","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159962","09/27/2020 20:31","Independence","MO","USA","","MADAR Node 45","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=160715","09/27/2020 19:50","FORT WORTH","TX","USA","Other","CUBE SHAPE OBECT SIGHTED IN FORT WORTH TX SEP 20","11/19/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159706","09/27/2020 18:00","Middleboro","MA","USA","Circle","dark circle hovers and takes off","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159607","09/27/2020 17:55","Ellicottville","NY","USA","Disk","They're back and there's more","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159696","09/27/2020 13:27","Brush Prairie","WA","USA","Orb","UFO sighting while homeschooling my son. Multiple white objects in sky. Can see that there are different speeds and directions.","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159709","09/27/2020 07:14","Flippin","AR","USA","Light","Green light appears and disappears followed by the sound of a jet","10/02/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159965","09/27/2020 05:50","Spokane","WA","USA","","MADAR Node 37","10/15/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159583","09/27/2020 05:24","Houston","TX","USA","Formation","Star formation taking place with jumps through triangle. Same old stuff they jump through time to keep the governments in control. Noth","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159573","09/27/2020 05:20","The Villages","FL","USA","Light","Two white lights spheres in tandem seen through thin clouds moving fast very fast 2-3 seconds","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159579","09/27/2020 05:18","Spokane Valley","WA","USA","Sphere","Lights racing around","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=163670","09/27/2020 05:00","Allen Park","MI","USA","Circle","Circular objects moving fast","06/11/2021","07/31/2021",""
"https://nuforc.org/sighting/?id=159582","09/27/2020 02:50","Tucson (North of; Pima Co.)","AZ","USA","Sphere","Pulsing white light Spherical object","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159577","09/27/2020 02:00","Pointblank","TX","USA","Light","It was 2:00 in the morning on the east side lake livingston right under 190 hwy. My mom and my sister and I were inside the house havin","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159605","09/27/2020 01:45","Deerlake","WA","USA","Oval","09/27/2020. Deer Lake Wa sphere 2 minutes. Glowing white sphere size of a golf ball dancing between to motion cameras","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159788","09/27/2020 01:25","Mt. Vernon","IN","USA","","MADAR Node 119","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159603","09/27/2020 01:20","Scottsdale/Fountain Hills","AZ","USA","Changing","Saw what seemed to be a regular aircraft, but turned out to be a physics defying encounter.","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159782","09/27/2020 00:00","Kennebunk","ME","USA","Triangle","Is this a UFO or the government","10/06/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159635","09/27/2020 00:00","Brighton (UK/England)","","United Kingdom","Changing","Stunning interdimensional craft with ET's inside","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159590","09/26/2020 23:10","West Islip","NY","USA","Circle","Two bright red -orange centers fly over Long Island. Disappeared within minutes of each other after traveling north.","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=165657","09/26/2020 22:00","Glenmoore","PA","USA","Disk","Back yard","12/03/2021","12/19/2021",""
"https://nuforc.org/sighting/?id=159562","09/26/2020 21:36","Fremont","MI","USA","Fireball","Two orange balls silently fly over Michigan from south to north.","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159578","09/26/2020 21:30","Biloxi","MS","USA","Fireball","Fiery pulsating orb","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159564","09/26/2020 21:20","Johnson City","TN","USA","Unknown","Had to walk my dog and happened to look up in the sky to see the stars, after raining two days it was nice to see a clear sky i noticed","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159561","09/26/2020 21:00","Cotter","AR","USA","Other","Oval/triangle/filled in boomerang shaped spacecraft. Lights flashing in a row, noises too loud for aircraft and for its size.","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159602","09/26/2020 20:35","Avon","IN","USA","Unknown","Green and Red Ribbon Lights Passing Over My Neighborhood.","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159629","09/26/2020 20:30","Powdersville","SC","USA","Circle","Spectacular light sightings above the clouds over the highway","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159935","09/26/2020 20:30","Lincoln","NH","USA","Triangle","Two UAPs seen on September 26, 2020 from Pemigewassett Overlook.","10/14/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159616","09/26/2020 18:39","Bridgewater","MA","USA","Circle","3 round crafts and a hidden 4th","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159567","09/26/2020 18:30","Ville Platte","LA","USA","Cigar","White cigar shape flying straight with no sound or light emitted.","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159571","09/26/2020 16:29","Ellicottville","NY","USA","Disk","UFO stops by to see Fall Foliage","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159795","09/26/2020 12:12","Littlerock","CA","USA","","MADAR Node 56","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159599","09/26/2020 05:00","Sanford","FL","USA","Orb","Floating Pulsating Orb","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159797","09/26/2020 03:18","Furlong","PA","USA","","MADAR Node 38","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159597","09/26/2020 03:00","South Bend/Jacksonville","AR","USA","Diamond","Saturday morning around 3am I was on my front deck looking out into the hay field across the street. It completely dark except for the","09/28/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159794","09/26/2020 01:54","Edmonds","WA","USA","","MADAR Node 61","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159557","09/26/2020 00:34","Huntsville","AL","USA","Light","A flying object was seen traveling SW slowly in a straight line. The object had one red and two green flashing lights. The object insta","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159570","09/25/2020 23:00","Sanford","NC","USA","Changing","Spherical ball of orange/yellow/white light changed shape and color to square then disc shape airplanes did come close and light would","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159608","09/25/2020 22:30","Fountain Hills","AZ","USA","Light","rotating colored light on a mountain top","09/27/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159568","09/25/2020 21:45","Kitchener (Canada)","ON","Canada","Orb","Multiple lit orbs. ((Starlink satellites?))","09/26/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159558","09/25/2020 19:55","Barstow","TX","USA","Fireball","5 fireball UFO' s that changed directions.","09/25/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159688","09/25/2020 13:28","Plantation","FL","USA","Disk","Black disc shaped saucer seen flying underneath the clouds then shooting up into sky.","10/02/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159720","09/25/2020 12:00","Miami","FL","USA","Unknown","Unidentifiable Object Seen in Miami Fall 2020!","10/02/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159611","09/25/2020 10:30","Conneautville","PA","USA","Light","Object would blink every 30 seconds. At first it was stationary. Right by the dipper but then moved to the south west. Second time I ha","09/29/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159549","09/25/2020 07:00","Lake Alfred","FL","USA","Oval","Pack of lights at sunrise over Legoland Florida area.","09/25/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159553","09/25/2020 00:35","Victorville","CA","USA","Circle","White circular craft hovering over my house a mile up with 2 black inner circles.","09/25/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159792","09/25/2020 00:20","Aliquippa","PA","USA","","MADAR Node 68","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159554","09/24/2020 23:23","Orlando","FL","USA","Triangle","Huge triangle Shape with flashing lights craft hovering seen from I4 highway.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=160823","09/24/2020 23:00","Modesto","CA","USA","Light","Silent orangish lights, 4 of them flying low.","11/25/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=160250","09/24/2020 22:43","Altoona","PA","USA","Disk","On September 24,2020 I saw one large object saucer with lights in sky size of a bus. It was at 10:43 p.m. at night flying across the sk","10/26/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159535","09/24/2020 22:15","Weston","WV","USA","Fireball","Fireball like object seen in sky from Weston WV.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159544","09/24/2020 22:00","Dallas Center","IA","USA","Light","Multi colored flashing object zig zags across the sky, then splits into a triangle and disappears.","09/25/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159541","09/24/2020 21:15","Parker","CO","USA","Other","Giant bright blue beam shot across the sky.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159543","09/24/2020 19:30","Coventry","CT","USA","Light","Big bright light above me in the night sky hovered for a moment before getting dim and flying away.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159542","09/24/2020 18:30","Georgetown","CO","USA","Light","Bright star like object during daylight appear, vanish, reappear, then vanish.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159790","09/24/2020 15:15","Payson","IL","USA","","MADAR Node 97","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=161406","09/24/2020 11:00","WHITE TWP.","NJ","USA","Disk","2 OBJECTS NOT SEEN UNTIL EXPOSED","12/31/2020","01/19/2021",""
"https://nuforc.org/sighting/?id=159929","09/24/2020 08:37","Scottsdale","AZ","USA","Disk","UFO spotted north of Scottsdale Airpark Sept 24, 8:37AM. White tic-tac shaped UFO stationary, then moves at incredible speed.","10/13/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159540","09/24/2020 07:46","Windham","NH","USA","Triangle","2nd ufo sighting same place.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159789","09/24/2020 05:40","Santa Claus","IN","USA","","MADAR Node 114","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159538","09/24/2020 05:25","Tecumseh (Canada)","ON","Canada","Triangle","Single object hoovering over a baseball diamond / arena. Object appeared to be triangular with 3 white lights on each side and one sing","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159526","09/24/2020 01:36","Fort Collins","CO","USA","Triangle","Silent black triangle with faint lights.","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=160140","09/23/2020 23:51","Virginia Beach","VA","USA","Fireball","They were fast red orbs that gravitated to a pulsating light of of the water of the ocean.","10/22/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159532","09/23/2020 23:00","Ronkonkoma","NY","USA","Triangle","On September 23, 2020 approximately 10:30 PM we were standing outside looking south when we see a UFO flying a very slow speed headin","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159523","09/23/2020 20:56","Chico","CA","USA","Formation","Light Formation (with faint outline of oblong craft in between lights) in night sky","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=161610","09/23/2020 20:40","Alexandria","VA","USA","Triangle","Black Triangle UFO spotted at night over Woodrow Wilson bridge, following I-95 torwards Alexandria, VA.","01/13/2021","01/19/2021",""
"https://nuforc.org/sighting/?id=159520","09/23/2020 19:15","Littleton","MA","USA","Orb","2 silent orbs of bright light high in the sky maintaining even spacing as they moved east to west and eventually disappearing.","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159539","09/23/2020 19:00","Schererville","IN","USA","","ufo with red, blue, white lights moving fast. Forming different shapes and following a color pattern","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159521","09/23/2020 18:58","Joshua Tree","CA","USA","Formation","Changing light formations in the sky. Appearing and disappearing and changing formation In the middle of the desert.","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159838","09/23/2020 18:00","Marietta","GA","USA","Circle","I witness the same UFO David Fravor witnessed back in 2004.","10/09/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159793","09/23/2020 15:05","Garrettsville","OH","USA","","MADAR Node 64","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=160159","09/23/2020 12:00","Railghy","NH","USA","Oval","((NUFORC Note: Witness provides no information. PD))","10/23/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159783","09/23/2020 08:35","Reno","NV","USA","Light","Saw at least 3 white lights moving at fairly high speeds high in the sky with no sound. my little daughter first saw them and pointed t","10/06/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159476","09/22/2020 21:56","Sultan","WA","USA","Light","4 pulsating lights in a row floating accross mountain top then disappeared.It was about 4 minutes then just disappeared.","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159697","09/22/2020 21:20","Cave Creek","AZ","USA","Circle","Ufo spotted just before storm","10/01/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159522","09/22/2020 20:05","San Clemente","CA","USA","Circle","Was a light like a Star flying in all different direction and stopping and starting again, lyrically at time then straight forward and","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159517","09/22/2020 20:00","Hendersonville","TN","USA","Formation","Several shape shifting lights in formation at times above Old Hickory Lake for about 90 minutes or better. At times the lights would pu","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159988","09/22/2020 19:42","Windham","NH","USA","Triangle","2nd sighting triangular shape aircraft saw location!","10/14/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159483","09/22/2020 19:10","Medina","OH","USA","Circle","Small object near crescent moon moving rapidly across the sky.","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159484","09/22/2020 19:10","Montreal (Canada)","QC","Canada","Fireball","Bright white light moving at extreme speeds","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159487","09/22/2020 04:10","Gunnison","CO","USA","Cross","At 4:10am this morning i went to close the window and saw a cross shaped ufo one mile away hovering about 50 feet above a ridge. I liv","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159489","09/21/2020 21:15","Wharton","PA","USA","Sphere","Small floating object observed at very close proximity. Intermittent lights and movement.","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159477","09/21/2020 21:05","Vernon Hills","IL","USA","Light","Green ball of light blasts forward and disappears in Vernon Hills, Illinois.","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=168126","09/21/2020 20:51","Ogden","UT","USA","Changing","A bright round light that turned into three or four separate the lights and came back together","05/26/2022","06/22/2022",""
"https://nuforc.org/sighting/?id=159495","09/21/2020 20:05","Port Saint Lucie","FL","USA","Light","Yellow round light traveling vertically and then disappeared","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159493","09/21/2020 16:30","Cherry Hill","NJ","USA","Light","5 sphere light Traveling toward Philly 3 in. A triangle and 1 leading with 1 trailing","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159497","09/21/2020 13:00","Linden","VA","USA","Other","witnessed countless orbs and an actual flying saucer, simply amazing.","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159787","09/21/2020 10:33","Farmington Hills","MI","USA","","MADAR Node 144","10/07/2020","12/23/2020",""
"https://nuforc.org/sighting/?id=159512","09/21/2020 05:36","Long Island","NY","USA","Fireball","White Flash with a Blueish Green line going downwards. ((NUFORC Note: Possibly a meteor/fireball. PD))","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159504","09/21/2020 01:00","Depoe Bay","OR","USA","Light","from the north, at high speed, appeared an array of some 15 to 25 lights flying in a marked “V” formation. ((Starlink satellites))","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=163692","09/21/2020 01:00","Depoe Bay","OR","USA","Light","My wife and I were stargazing from a cliff above the Pacific on a very clear and moonless night tonight, when from the north, at high s","06/13/2021","07/31/2021",""
"https://nuforc.org/sighting/?id=159494","09/21/2020 00:00","Newberlin","WI","USA","Circle","Going north on nation ave 130th looked to my left above trees line going parallel with nation ave about 200 feet off ground high rate o","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159625","09/20/2020 23:45","Dartmouth","MA","USA","Circle","The amazing sky night phenomenal","09/30/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159510","09/20/2020 23:40","Valley grove","WV","USA","Other","UFO mother ship stalking me and one of its smaller ships coming close","09/20/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159503","09/20/2020 23:00","San Diego","CA","USA","Fireball","White bright light coming from ball and then floated away","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159444","09/20/2020 22:29","Columbus","OH","USA","Oval","UFO oval seen Ohio blinking lights","09/20/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159506","09/20/2020 22:00","Vancouver (Canada)","BC","Canada","Light","a small bright orange star","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159441","09/20/2020 22:00","Fort Albany (Canada)","ON","Canada","Diamond","while outside our residence, three lights in a diamond shape moved erratically in the sky above our location and disappeared into the e","09/20/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159448","09/20/2020 20:50","Virginia Beach","VA","USA","Circle","Orange glow in the sky","09/20/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159502","09/20/2020 20:15","Post Falls","ID","USA","Light","Supposed satellite changes course after several flashes in sky","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159500","09/20/2020 20:00","Middlefield","OH","USA","Diamond","We were coming back outside to stoke the fire and have a seat. I looked above us to the night sky to see a solitary bluish light about","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159501","09/20/2020 20:00","Rossville","KS","USA","Changing","My friend and I saw a pink/orange light expel a dark object and then dissappear.","09/21/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159442","09/20/2020 19:50","Everett","WA","USA","Formation","it started as three hovering, bright gold/white lights in a triangle formation just above Snohomish river/farmland. One became dim afte","09/20/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159515","09/20/2020 19:24","Sparta","NC","USA","Other","Long bright lines in sky heading different directions, only appeared right after the sun went down.","09/23/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=162003","09/20/2020 17:00","Alberta (rural)(Canada)","AB","Canada","Other","Id like to submit a video for your assessment.","02/11/2021","03/02/2021",""
"https://nuforc.org/sighting/?id=159536","09/20/2020 15:30","Riverton","WY","USA","Sphere","dull metallic sphere stationary in the sky for approximately 10 minutes","09/24/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=162471","09/20/2020 14:30","Garrison","NY","USA","Triangle","My wife and I went into the hot tub during a bright sunny day in September. There were no clouds in the sky. The sky was blue. We were","03/25/2021","03/31/2021",""
"https://nuforc.org/sighting/?id=159490","09/20/2020 13:00","Joppa","MD","USA","Circle","It was in my back yard it looked like a silver balloon at first but it was moving to fast. I went in my house to get my wife to show he","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159481","09/20/2020 05:45","Swoyersville","PA","USA","Sphere","Bright orange light in sky, moving at high rate of speed, moved toward horizon, than stopped and wandered about sky.","09/22/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159459","09/20/2020 04:00","UK/England)","","United Kingdom","Unknown","At 4-5am Unexplained series of 20 + feint lights, in line, very high in the sky moving very fast.","09/19/2020","11/05/2020",""
"https://nuforc.org/sighting/?id=159655","09/20/2020 02:36","Whately","MA","USA","","MADAR Node 67","09/30/2020","11/05/2020",""
